PUBCHEM_CID,HOMO,LUMO,HOMO_LUMO_Gap,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,Mol_Size_2,Length_Ratio,Len_Div_Diameter,Dipole_Moment,Quadrupole_Moment,ESPmin,ESPmax,Neg_Surface_Area,Overall_Average,Neg_Average,Overall_Variance,Nu,ALIEmin,ALIEmax,ALIE_Ave,LEAmin,LEAmax,LEA_Ave,XLogP,TPSA,Complexity,RotatableBondCount,y,y_class,S_c_tcpl_compliant,S_c_ci_lower_compliant,S_c_ci_upper_compliant,tcpl_binary_compliant,tcpl_ternary_compliant,tcpl_n_tested_compliant,tcpl_n_positive_compliant
7635,-0.361376,0.081798,0.443174,13.47,41.7,27.91,4.74,21.955,14.08615011,7.708,0.508454282,0.997224594,2.611392,14.639715,-42.13351,18.76838,194.22549,0.00242807,-0.02335982,0.00057805,0.0542104,12.47417,16.35352,0.50751387,-46.20401,-20.20263,-0.9975058,3.2,26.3,121,7,1,1,0.05130970724191063,0.00847457627118644,0.10000000000000002,0,1,9,9
443403,-0.270588,0.065531,0.336119,11.12,24.2,11.84,7.8,13.74,6.228354518,9.323,0.380846972,0.991029273,3.704057,21.41466,-46.71224,51.76772,414.38811,-0.00064668,-0.02923637,0.00053477,0.23458272,9.13258,18.53137,0.50487205,-52.15596,-19.71638,-1.1319298,0.3,61.7,467,0,1,1,-1.0,-1.0,-1.0,-1,-1,0,0
15624,-0.295796,0.061617,0.357414,14.97,13.98,12.1,13.79,13.71,1.03186724,7.687,0.436843243,0.995859621,1.677403,9.830073,-33.58572,61.20865,364.56849,-0.00187287,-0.01792649,0.00049436,0.20990475,10.42646,18.54462,0.50002985,-46.46096,-19.46894,-1.0362057,2.7,20.2,109,2,1,1,0.17708333333333331,0.13541666666666666,0.22916666666666666,1,1,1,0
71267,-0.288694,0.061408,0.350102,15.28,32.32,12.99,14.19,18.695,7.907984889,8.599,0.497605706,0.996463547,5.317594,11.141587,-63.36486,55.16836,460.95602,-0.00107816,-0.0256983,0.00088984,0.1753166,9.68366,17.4084,0.49814603,-46.68235,-19.45339,-1.0211661,3.1,32.3,275,3,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,1,2,0
667493,-0.310179,0.017629,0.327808,69.9,28.03,19.37,15.22,33.13,21.72641595,8.144,0.410873099,0.950132685,6.789655,18.060651,-43.11748,69.76005,247.36064,0.00726354,-0.03701784,0.00076746,0.23086895,9.63925,17.7723,0.49633583,-45.28366,-12.46808,-0.9563624,-0.2,73.2,197,0,2,1,0.09403269144648455,0.027351097178683385,0.19719827586206898,0,1,9,9
34,-0.359632,0.107917,0.46755,63.38,40.32,36.0,16.97,39.1675,16.51011413,5.695,0.367178892,0.953040337,2.038521,7.028486,-36.60505,34.24797,181.954,0.00368491,-0.02038529,0.00036618,0.23435659,11.91413,17.43644,0.51097053,-50.80599,-15.92997,-0.9110801,-0.1,20.2,10,1,1,1,0.10581502912927099,0.0032967249252086285,0.20833333333333331,0,1,9,9
122824,-0.157596,0.029309,0.186905,9.14,8.41,9.06,8.42,8.7575,0.343684085,11.914,0.380904301,0.912747618,7.654939,18.863078,-37.32832,35.31875,567.28477,-0.00034049,-0.022728,0.00043275,0.23303627,7.62766,17.73836,0.48181655,-42.54648,-15.82908,-1.0152623,2.4,31.8,322,5,3,1,0.5,0.16666666666666666,0.8333333333333334,1,1,2,2
12958,-0.371933,0.138545,0.510478,27.72,42.29,10.79,12.24,23.26,12.8352425,6.318,0.407948134,0.990269101,6.738778,10.557822,-61.83647,33.86168,194.27676,0.00120538,-0.04939654,0.00106569,0.11597341,11.41403,18.13794,0.52226726,-42.37982,-20.10762,-0.9650651,-0.7,35.5,82,2,1,1,0.10521956856702619,0.03543913713405239,0.19886363636363635,0,1,9,9
14552708,-0.200359,0.012545,0.212904,14.69,13.24,11.6,11.42,12.7375,1.331772785,7.21,0.546211768,0.992853682,2.322819,15.032567,-39.64987,55.89097,444.22318,0.00274616,-0.01984281,0.00050933,0.23104959,5.91367,19.53828,0.46620348,-51.69074,-19.82884,-1.0205032,2.4,55.5,131,12,40,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,1,2,2
111037,-0.302353,0.080706,0.383058,29.87,22.46,26.59,20.77,24.9225,3.555470257,7.814,0.450144917,0.972750935,2.080248,13.038982,-39.42241,18.55854,297.55777,0.0013058,-0.01620157,0.00032203,0.09966582,10.10258,16.31257,0.50513691,-47.32821,-20.4109,-1.000583,2.4,26.3,251,3,10,1,0.06066799601196412,0.00847457627118644,0.10000000000000002,0,1,9,9
86137,-0.325643,-0.009563,0.316079,24.17,13.47,9.81,14.96,15.6025,5.28950553,8.682,0.466028155,0.979068197,7.135998,30.289292,-46.92231,57.3222,586.5693,0.00011159,-0.02259314,0.00080701,0.23282826,11.71266,18.22144,0.51551651,-49.70895,-19.11038,-1.1198666,0.9,101.0,491,5,1,1,0.29501380262249827,0.01956521739130435,0.8333333333333334,1,1,9,9
86210,-0.311427,0.056914,0.368341,13.95,12.84,14.95,13.59,13.8325,0.759354166,10.289,0.454060038,0.990061054,7.979363,6.709427,-44.54896,66.14458,541.51251,0.00264265,-0.02280464,0.00053192,0.23456606,11.099,17.40035,0.50142823,-48.64568,-14.87247,-1.0063888,3.7,50.9,384,4,25,1,0.35000000000000003,0.25,0.5,1,2,9,9
18391,-0.286216,0.059388,0.345604,18.67,16.21,13.24,12.52,15.16,2.453497504,8.001,0.436536833,0.983686319,2.461897,15.338872,-29.76997,64.2643,326.14398,7.6e-05,-0.02079041,0.00049603,0.21505978,9.48536,18.57475,0.49931562,-46.86205,-14.71953,-0.9801438,2.5,45.5,105,1,16,1,0.39236111111111116,0.09375,0.8333333333333334,1,1,2,2
10207,-0.312656,-0.046758,0.265898,9.48,10.43,7.84,6.05,8.45,1.666838324,9.001,0.489258284,1.011506597,2.347895,25.453562,-45.07531,71.32128,446.91089,0.00166204,-0.02349776,0.00075669,0.23812552,11.70842,18.97291,0.52014945,-50.4857,-19.31506,-1.2374355,1.8,94.8,421,1,9,1,0.5,0.16666666666666666,0.8333333333333334,1,1,8,6
15595,-0.340042,0.154067,0.494109,6.33,29.58,3.61,4.1,10.905,10.83064287,8.784,0.413973229,0.983517549,2.192866,11.437656,-42.43205,42.08121,129.93253,0.00350084,-0.02410091,0.00059497,0.09565887,11.80273,16.98983,0.49615787,-51.00117,-21.24039,-1.009565,3.8,20.2,99,0,9,1,0.08412698412698412,0.03333333333333333,0.11904761904761903,0,1,9,9
8425,-0.296993,0.050012,0.347005,12.72,12.1,9.87,7.47,10.54,2.065175537,9.015,0.430565431,1.00894423,3.099321,19.330517,-24.58508,69.38248,489.87088,-0.00083489,-0.01746135,0.00050299,0.1460237,11.31301,18.76203,0.49870209,-46.94978,-14.89048,-1.0124628,4.0,20.2,189,2,38,1,0.16177896188016982,0.07355792376033962,0.25,1,1,9,9
36383,-0.252114,-0.029802,0.222312,9.68,9.94,14.05,11.07,11.185,1.734682968,9.556,0.468897528,0.94250628,8.320324,33.673308,-45.40881,62.66928,461.18167,0.00514732,-0.02862139,0.00084891,0.24961332,11.27334,17.91302,0.51732715,-52.87052,-20.26055,-1.191935,0.4,122.0,281,8,14,1,0.3615079365079365,0.017857142857142856,0.9,1,1,2,2
6396,-0.366064,0.155371,0.521435,18.41,20.58,6.49,10.68,14.04,5.704397427,7.206,0.34936514,0.998350742,0.001331,0.002631,-7.43794,8.66865,229.81506,0.00248146,-0.0046559,2.3e-05,0.23109346,13.10672,14.83825,0.49811086,-30.76481,-16.9664,-0.8574596,2.4,0.0,19,0,0,0,0.3333333333333333,0.16666666666666666,0.5,1,1,2,0
6419,-0.394347,0.021252,0.4156,28.03,24.21,23.44,16.33,23.0025,4.226330412,6.428,0.34626729,0.861680587,1.608065,3.094798,-12.06577,41.95375,330.87191,0.0022466,-0.00862627,0.0002938,0.07455085,12.67498,17.15297,0.50205009,-27.43024,-15.3711,-0.6333265,3.2,0.0,51,0,0,0,0.3333333333333333,0.16666666666666666,0.5,1,1,2,0
71113,-0.333409,0.100961,0.43437,34.34,41.45,23.66,9.97,27.355,11.8675029,8.218,0.438565597,0.998542008,4.62267,11.687033,-51.91152,54.7043,370.10312,0.0001127,-0.01946033,0.00094018,0.23790046,11.44521,17.43833,0.50421308,-46.649,-19.72036,-0.9917107,2.1,43.1,95,5,0,0,-1.0,-1.0,-1.0,-1,-1,0,0
20138,-0.338743,0.01829,0.357033,23.35,44.2,20.45,20.66,27.165,9.901410253,5.294,0.46183141,0.989646772,4.9471,6.231636,-46.79604,29.22481,138.12951,0.00402047,-0.03751805,0.00078378,0.12029453,11.27221,16.70105,0.51383145,-44.93502,-20.00365,-1.0292921,0.5,17.1,45,1,0,0,-1.0,-1.0,-1.0,-1,-1,0,0
4474,-0.270807,-0.038095,0.232712,27.69,12.57,15.79,6.11,15.54,7.8331156,11.326,0.432007199,0.979413947,5.916291,51.494897,-48.03723,57.95455,784.25686,-0.002304,-0.02964286,0.0005943,0.20153757,10.60065,18.28799,0.5139008,-50.69241,-19.36664,-1.1143913,3.8,114.0,856,10,37,1,0.25,0.0003855809807559011,0.8532536836904248,1,1,1,0
67045,-0.315733,-0.009301,0.306432,18.18,9.51,14.41,8.61,12.6775,3.868354786,8.055,0.513677592,0.988800779,10.367536,30.678532,-45.91897,79.12139,420.49156,0.00442057,-0.03354207,0.00113865,0.23488039,11.86659,19.09662,0.53345011,-47.57328,-18.56701,-1.1908789,-0.3,133.0,527,3,1,1,0.35750534188034194,0.046875,0.8333333333333334,1,1,9,9
17756939,-0.318354,-0.035369,0.282985,9.91,12.5,12.22,9.86,11.1225,1.241579136,8.202,0.533012831,0.999765781,1.413424,37.690703,-48.37276,48.98732,447.89449,0.00217148,-0.02595457,0.00050978,0.22788943,10.95255,17.73906,0.5146882,-48.48487,-13.3439,-1.0385753,2.0,133.0,609,2,4,1,-1.0,-1.0,-1.0,-1,-1,0,0
62556,-0.365366,0.01916,0.384527,13.64,12.32,16.92,18.69,15.3925,2.535659431,12.348,0.364681948,0.926916713,1.7101,18.367807,-38.77226,24.62568,568.59098,0.0001848,-0.02420539,0.00050209,0.14376442,11.31859,16.78199,0.52102771,-46.7252,-19.75193,-1.1047631,2.3,105.0,460,16,44,1,0.40277777777777785,0.125,0.8333333333333334,1,1,3,0
5382,-0.317946,0.014627,0.332574,5.6,12.39,7.52,8.13,8.41,2.480272162,8.879,0.495664272,1.000065283,2.247005,13.06415,-40.39812,29.80855,621.15458,0.00021425,-0.01546605,0.00029754,0.22869255,11.70521,16.63626,0.50523699,-43.47124,-14.72626,-0.9532849,6.0,44.2,362,4,6,1,0.13055555555555556,0.10000000000000002,0.16666666666666666,1,1,8,6
123698,-0.146446,0.032211,0.178657,14.3,9.17,20.63,9.01,13.2775,4.74836485,9.71,0.451120929,0.99681805,9.799577,14.388632,-47.22308,39.71465,499.97814,0.0021702,-0.03024002,0.00058114,0.22247275,8.20102,17.12,0.48738608,-45.96325,-19.62722,-1.0120213,2.4,20.3,275,5,3,1,0.16666666666666666,0.00021690847003096587,0.666821754401209,1,1,2,0
92421,-0.317068,0.007952,0.325019,14.3,22.62,13.29,13.36,15.8925,3.904544628,7.952,0.506593859,0.999796665,4.324957,31.548469,-54.42357,59.30611,354.68651,0.00101188,-0.03336166,0.00072701,0.17533542,11.48691,18.65023,0.52302811,-50.44966,-20.40094,-1.1067617,0.9,80.7,411,4,0,0,0.2892267267267267,0.013513513513513514,0.8333333333333334,1,1,9,9
6984,-0.295072,0.066642,0.361715,16.14,14.07,14.57,14.52,14.825,0.783788875,7.872,0.380634125,0.997705944,1.451812,10.782621,-26.15656,61.1199,440.27805,-0.00129551,-0.01311966,0.00047754,0.1791707,11.10189,18.54613,0.501339,-46.55412,-19.47054,-1.0210615,3.4,20.2,111,2,6,1,0.10007580469600375,0.025151609392007467,0.19491525423728814,0,1,9,9
9865,-0.309703,0.09785,0.407553,28.74,65.15,37.34,27.0,39.5575,15.28563439,4.916,0.35606114,0.917755991,2.409578,2.734441,-26.02418,20.36186,138.62516,0.00242157,-0.02218925,0.00018527,0.21933755,9.46857,17.00364,0.4901418,-28.72431,-12.85257,-0.7268085,0.6,25.3,10,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,1,2,2
6442,-0.367346,-0.000689,0.366658,32.05,33.95,27.99,12.97,26.74,8.236437337,6.433,0.336660428,0.894475138,6.001469,3.719144,-40.62774,58.574,216.24045,0.00332275,-0.03779448,0.00055909,0.24989118,12.30065,17.92766,0.5317747,-51.64137,-20.3603,-1.1671121,-0.1,66.0,93,1,0,0,0.06944444444444443,0.017857142857142856,0.16666666666666666,0,1,2,2
887,-0.349484,0.17226,0.521744,32.35,49.22,23.79,19.4,31.19,11.40384365,4.242,0.35552159,0.887447539,2.029921,3.145417,-41.506,48.73221,90.05388,0.00171603,-0.0328599,0.00072952,0.23735121,11.85947,17.26114,0.52389798,-50.50378,-18.5364,-1.0349057,-0.5,20.2,2,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,1,2,2
6399253,-0.284241,0.007886,0.292127,12.19,15.3,10.67,19.56,14.43,3.399595564,9.858,0.466691454,0.962551125,7.738956,42.630863,-57.10547,66.73773,694.89888,-0.00265725,-0.03465546,0.00104431,0.2445813,9.92015,18.60328,0.51419281,-55.86037,-13.94762,-1.0866912,0.0,212.0,739,5,2,1,-1.0,-1.0,-1.0,-1,-1,0,0
7797,-0.360454,0.083451,0.443905,21.68,37.83,27.86,5.52,23.2225,11.73289473,5.75,0.60244853,0.999869332,2.362078,10.949669,-42.30026,16.68269,252.75422,0.00110481,-0.01993134,0.00048459,0.06782164,12.57844,16.82821,0.50787165,-47.21268,-20.17938,-0.9981283,2.9,26.3,99,7,2,1,0.12169104035542391,0.0350487473775145,0.20833333333333331,0,1,9,9
5352624,-0.288889,0.002494,0.291382,11.97,11.06,10.22,11.16,11.1025,0.619773144,10.525,0.478673411,0.985214391,3.115655,23.386022,-45.39278,60.81839,610.72045,-0.00012643,-0.02197525,0.00041918,0.24534214,9.58572,18.5107,0.50756694,-60.79992,-14.04666,-1.0893261,4.8,62.6,546,4,12,1,0.25,0.0003855809807559011,0.8532536836904248,1,1,1,0
5280489,-0.235685,-0.023599,0.212086,4.05,4.31,4.78,4.3,4.36,0.263912864,8.711,0.666912563,0.99038403,0.160327,40.021106,-20.10977,16.44928,978.13484,-0.00019764,-0.01312224,0.00011968,0.16290846,10.30444,15.47344,0.4919726,-40.49259,-20.46634,-1.0004463,13.5,0.0,1120,10,0,0,-1.0,-1.0,-1.0,-1,-1,0,0
3950,-0.33165,-0.031036,0.300614,22.21,20.21,33.67,21.75,24.46,5.368733556,7.427,0.481957842,0.99940732,4.573364,10.086583,-39.10285,40.64051,298.67952,0.00466247,-0.02202867,0.00032203,0.193328,11.92614,17.46413,0.51263381,-49.45733,-16.0367,-1.0191008,2.8,61.8,219,3,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,1,2,2
62661,-0.313898,0.067637,0.381536,17.74,12.29,15.23,14.19,14.8625,1.967554002,7.143,0.495647237,0.997942387,2.096919,9.71885,-42.92407,49.18192,355.16937,0.00055627,-0.01885156,0.00043473,0.2192682,11.27067,17.13951,0.49718072,-51.32422,-19.47735,-1.009499,3.5,20.2,125,4,1,1,0.15277777777777776,0.125,0.16666666666666666,1,1,8,6
66491,-0.303147,-0.032271,0.270876,11.92,9.08,7.43,9.75,9.545,1.610287241,9.191,0.427037357,0.927738236,6.020035,6.65617,-40.66324,38.4808,314.60076,0.00209108,-0.02478132,0.000766,0.21608659,11.71372,16.7155,0.51256402,-47.60667,-19.31344,-1.1869411,1.7,46.2,285,0,5,1,0.5416666666666667,0.25,0.8333333333333334,1,2,2,1
7849,-0.366948,0.065862,0.43281,68.28,76.39,29.72,23.14,49.3825,23.24759813,4.839,0.472009359,0.999876084,0.160746,7.032964,-12.50129,24.39809,233.96511,0.00489256,-0.01154803,0.0001515,0.14514211,11.95646,17.13474,0.5105603,-162.6156,-15.85145,-2.1982363,1.6,0.0,10,1,1,1,0.04722222222222222,0.017857142857142856,0.10000000000000002,0,1,2,2
16219385,-0.213113,0.039276,0.25239,10.29,18.03,11.47,8.91,12.175,3.499696415,6.581,0.442364578,0.963458828,5.501247,19.304413,-48.02535,64.74838,323.50938,0.00416796,-0.03613299,0.00136784,0.22923958,6.2823,18.94161,0.49712811,-75.04832,-19.78863,-1.260095,2.4,102.0,145,4,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,1,2,2
6587,-0.384647,-0.004842,0.379805,28.54,37.25,28.31,13.0,26.775,8.731375894,5.243,0.396759923,0.978619876,4.53155,3.636709,-38.13833,32.38506,157.51942,0.00345727,-0.03620262,0.00038404,0.23672913,12.92851,18.76682,0.54180156,-48.25914,-20.30278,-1.1759283,0.2,45.8,37,0,1,1,0.049820788530465954,0.016129032258064516,0.10000000000000002,0,1,9,9
198165,-0.155889,0.034209,0.190098,6.23,4.04,6.15,3.88,5.075,1.116792281,10.146,0.400995839,0.973344371,10.394302,17.058049,-51.9571,52.79645,505.30757,0.00029961,-0.03310379,0.00100533,0.24986771,6.34217,17.25766,0.45860385,-56.75068,-20.19791,-1.0921535,2.4,81.0,401,0,4,1,-1.0,-1.0,-1.0,-1,-1,0,0
23616254,-0.233466,0.035652,0.269118,12.84,10.24,10.35,12.55,11.495,1.205,10.971,0.399442897,0.973717846,7.88998,18.529381,-72.7656,41.75426,502.7072,-6.01e-05,-0.02725383,0.00109691,0.18922715,9.92803,16.74547,0.49150065,-53.21396,-19.71603,-1.0548162,2.4,29.5,299,4,0,0,-1.0,-1.0,-1.0,-1,-1,0,0
96132,-0.31182,0.104861,0.416681,22.25,33.2,28.56,29.8,28.4525,3.963491989,9.922,0.398226585,0.978980148,2.91642,30.522224,-45.02199,54.71487,265.00009,0.0071017,-0.03319833,0.00064849,0.24533186,9.97166,17.27113,0.5089637,-51.08226,-19.03966,-1.0840483,-1.4,67.5,124,6,1,1,0.5,0.16666666666666666,0.8333333333333334,1,1,2,0
13134,-0.380307,0.113924,0.494232,39.38,29.62,13.17,13.03,23.8,11.24275989,6.444,0.388688837,0.928643725,4.659529,14.963816,-53.40295,70.93253,221.1205,6.52e-05,-0.04015035,0.00097732,0.23307043,11.73047,19.33661,0.53072885,-42.16494,-18.78845,-1.0023369,-1.2,55.8,81,2,2,1,0.06944444444444443,0.017857142857142856,0.16666666666666666,0,1,2,2
8430,-0.315308,0.101308,0.416616,40.46,22.42,24.4,6.75,23.5075,11.93922396,9.856,0.581238387,0.995646883,4.982149,35.215457,-73.67437,56.56465,615.15989,-0.00060391,-0.02090942,0.0010492,0.18814995,11.83626,17.30735,0.50247105,-49.55716,-18.95915,-1.0203141,3.5,60.8,216,14,6,1,-1.0,-1.0,-1.0,-1,-1,0,0
2797,-0.314979,0.052298,0.367277,17.53,13.04,15.31,13.65,14.8825,1.739674898,6.769,0.499378737,0.999922252,4.150076,16.133229,-55.78546,64.78152,368.85224,0.00130724,-0.02383732,0.00066947,0.23182755,11.76916,18.45816,0.51325132,-49.5651,-14.83972,-1.0376843,2.6,46.5,207,3,2,1,0.10833333333333334,0.10000000000000002,0.125,0,1,3,0
8706,-0.284339,0.052328,0.336667,15.59,11.46,11.46,12.51,12.755,1.691988475,7.39,0.475467736,0.980125935,3.11107,19.817145,-42.50861,57.93852,348.46621,-0.00263828,-0.02373412,0.0008103,0.21983931,10.75112,18.64436,0.49442586,-41.23658,-14.36306,-0.9840304,1.9,67.2,129,0,3,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,1,2,2
3229,-0.286303,0.002361,0.288664,20.37,10.87,9.34,8.1,12.17,4.834868147,9.9,0.489899473,0.989748549,6.860733,17.777704,-59.75655,50.17515,440.1976,0.00142688,-0.03000479,0.00079532,0.16972933,9.5749,18.93044,0.5164816,-62.24566,-19.15928,-1.1703019,-0.2,85.8,521,3,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,1,1,0
443382,-0.341228,-0.033018,0.308209,14.91,8.08,15.56,18.28,14.2075,3.756802996,10.759,0.583692951,0.9940242,7.722258,90.328371,-40.51866,60.22143,594.81067,0.00439699,-0.02513685,0.00067643,0.2368065,12.05016,18.42448,0.50927169,-49.8979,-15.83734,-1.0347071,9.0,121.0,639,21,5,1,-1.0,-1.0,-1.0,-1,-1,0,0
4994,-0.318068,0.007528,0.325597,35.0,17.74,12.52,15.24,20.125,8.784262917,7.679,0.338378283,0.837799564,4.832547,19.379451,-44.73988,63.63045,326.58733,0.00070243,-0.02478674,0.00114426,0.24956809,11.10908,18.0268,0.51518746,-46.98801,-19.32587,-1.0678731,1.0,46.2,239,2,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,1,2,0
76767,-0.323912,0.028757,0.352669,14.93,12.03,14.72,10.11,12.9475,1.997828509,9.431,0.482298951,0.999547101,1.727052,7.281894,-32.67729,22.63047,443.74885,0.00108236,-0.01151926,0.00019505,0.23341267,10.78226,16.77618,0.51802258,-166.39287,-20.04216,-2.7551828,4.7,9.2,162,3,20,1,0.09686147186147187,0.017857142857142856,0.25,0,1,2,2
73093,-0.206196,0.012698,0.218894,8.59,16.53,6.65,10.52,10.5725,3.701718351,11.45,0.438647915,0.972149274,15.768208,44.561897,-60.52448,78.11008,451.123,0.00577906,-0.04760418,0.00108681,0.24557813,8.59386,17.72992,0.49116353,-49.91239,-16.49325,-1.0097303,2.4,97.6,414,9,12,1,0.5,0.16666666666666666,0.8333333333333334,1,1,2,0
241,-0.32821,0.06845,0.39666,18.49,18.49,16.11,16.11,17.3,1.19,7.118,0.408170155,0.985330073,0.000196,6.3669,-21.42855,14.66161,201.63995,-0.00056246,-0.01673977,0.00014027,0.20199448,11.41886,16.25198,0.49692641,-39.5962,-19.44099,-1.0111623,2.1,0.0,15,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,1,2,2
8888,-0.298642,0.084998,0.38364,10.85,13.12,23.36,13.04,15.0925,4.859369172,9.503,0.430840128,0.983651667,1.464002,9.030812,-39.62723,43.16697,486.11717,-0.00020986,-0.01212548,0.00027451,0.21443581,10.02954,16.94723,0.49832195,-49.44208,-19.44358,-0.9762812,4.6,20.2,269,7,18,1,-1.0,-1.0,-1.0,-1,-1,0,0
146256,-0.291959,0.070638,0.362596,30.2,11.59,13.45,14.3,17.385,7.463372227,9.629,0.407776839,0.982244665,2.604402,15.919727,-47.81129,49.95795,514.88047,-0.00177853,-0.02029312,0.00052516,0.23169835,9.79371,17.18653,0.49938509,-49.30243,-19.52483,-1.0310542,2.6,41.5,237,6,0,0,0.20833333333333331,0.16666666666666666,0.25,1,1,2,0
3435,-0.309369,-0.052913,0.256456,8.73,9.54,12.1,10.83,10.3,1.280956674,7.398,0.523025663,1.010731259,5.341619,61.147109,-48.2622,50.1245,335.12174,0.00705634,-0.04113626,0.00084191,0.24999477,12.00242,18.54696,0.53730921,-51.083,-18.44525,-1.260661,-0.1,101.0,326,2,9,1,-1.0,-1.0,-1.0,-1,-1,0,0
