SampleName_x,MolecularFormula,MolecularWeight,CanonicalSMILES,IsomericSMILES,InChI,InChIKey,IUPACName,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount
2346,C8H7NS,149.21,C1=CC=C(C=C1)CN=C=S,C1=CC=C(C=C1)CN=C=S,"InChI=1S/C8H7NS/c10-7-9-6-8-4-2-1-3-5-8/h1-5H,6H2",MDKCFLQDBWCQCV-UHFFFAOYSA-N,isothiocyanatomethylbenzene,3.2,149.0299204,149.0299204,44.4,132,0,0,2,2,10,0,0,0,0,0,0,0,1
146540,C7H12Cl2N2,195.09,C1=CC=C(C=C1)CNN.Cl.Cl,C1=CC=C(C=C1)CNN.Cl.Cl,"InChI=1S/C7H10N2.2ClH/c8-9-6-7-4-2-1-3-5-7;;/h1-5,9H,6,8H2;2*1H",MSJHOJKVMMEMNX-UHFFFAOYSA-N,benzylhydrazine;dihydrochloride,,194.0377538,194.0377538,38,67,0,4,2,2,11,0,0,0,0,0,0,0,3
2519,C8H10N4O2,194.19,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",RYYVLZVUVIJVGH-UHFFFAOYSA-N,"1,3,7-trimethylpurine-2,6-dione",-0.1,194.0803756,194.0803756,58.4,293,0,0,3,0,14,0,0,0,0,0,0,0,1
13144,C6H10CaO6,218.22,CC(C(=O)[O-])O.CC(C(=O)[O-])O.[Ca+2],CC(C(=O)[O-])O.CC(C(=O)[O-])O.[Ca+2],"InChI=1S/2C3H6O3.Ca/c2*1-2(4)3(5)6;/h2*2,4H,1H3,(H,5,6);/q;;+2/p-2",MKJXYGKVIBWPFZ-UHFFFAOYSA-L,calcium;2-hydroxypropanoate,,218.0103289,218.0103289,121,53,0,2,6,0,13,0,2,0,2,0,0,0,3
5284360,C21H26N4O8S,494.5,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N.CS(=O)(=O)O,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N.CS(=O)(=O)O,"InChI=1S/C20H22N4O5.CH4O3S/c1-24(2)17(25)12-28-18(26)11-13-3-9-16(10-4-13)29-19(27)14-5-7-15(8-6-14)23-20(21)22;1-5(2,3)4/h3-10H,11-12H2,1-2H3,(H4,21,22,23);1H3,(H,2,3,4)",FSEKIHNIDBATFG-UHFFFAOYSA-N,[4-[2-[2-(dimethylamino)-2-oxoethoxy]-2-oxoethyl]phenyl] 4-(diaminomethylideneamino)benzoate;methanesulfonic acid,,494.147135,494.147135,200,695,0,3,9,9,34,0,0,0,0,0,0,0,2
6945,C6H4ClNO2,157.55,C1=CC=C(C(=C1)[N+](=O)[O-])Cl,C1=CC=C(C(=C1)[N+](=O)[O-])Cl,InChI=1S/C6H4ClNO2/c7-5-3-1-2-4-6(5)8(9)10/h1-4H,BFCFYVKQTRLZHA-UHFFFAOYSA-N,1-chloro-2-nitrobenzene,2.2,156.9930561,156.9930561,45.8,134,0,0,2,0,10,0,0,0,0,0,0,0,1
21209,C6H7ClN2,142.58,C1=CC(=C(C=C1N)N)Cl,C1=CC(=C(C=C1N)N)Cl,"InChI=1S/C6H7ClN2/c7-5-2-1-4(8)3-6(5)9/h1-3H,8-9H2",ZWUBBMDHSZDNTA-UHFFFAOYSA-N,"4-chlorobenzene-1,3-diamine",0.8,142.0297759,142.0297759,52,97,0,2,2,0,9,0,0,0,0,0,0,0,1
22584,C6H9ClN2O4S,240.67,C1=CC(=C(C=C1N)Cl)N.OS(=O)(=O)O,C1=CC(=C(C=C1N)Cl)N.OS(=O)(=O)O,"InChI=1S/C6H7ClN2.H2O4S/c7-5-3-4(8)1-2-6(5)9;1-5(2,3)4/h1-3H,8-9H2;(H2,1,2,3,4)",GQFGHCRXPLROOF-UHFFFAOYSA-N,"2-chlorobenzene-1,4-diamine;sulfuric acid",,239.9971556,239.9971556,135,178,0,4,6,0,14,0,0,0,0,0,0,0,2
7255,C7H8ClN,141.6,CC1=C(C=C(C=C1)N)Cl,CC1=C(C=C(C=C1)N)Cl,"InChI=1S/C7H8ClN/c1-5-2-3-6(9)4-7(5)8/h2-4H,9H2,1H3",RQKFYFNZSHWXAW-UHFFFAOYSA-N,3-chloro-4-methylaniline,2.9,141.034527,141.034527,26,94,0,1,1,0,9,0,0,0,0,0,0,0,1
18487,C7H9Cl2N,178.06,CC1=C(C=CC(=C1)Cl)N.Cl,CC1=C(C=CC(=C1)Cl)N.Cl,"InChI=1S/C7H8ClN.ClH/c1-5-4-6(8)2-3-7(5)9;/h2-4H,9H2,1H3;1H",VKYZDCTWJGBFDW-UHFFFAOYSA-N,4-chloro-2-methylaniline;hydrochloride,,177.0112047,177.0112047,26,94,0,2,1,0,10,0,0,0,0,0,0,0,2
8800,C9H11ClN2O,198.65,CN(C)C(=O)NC1=CC=C(C=C1)Cl,CN(C)C(=O)NC1=CC=C(C=C1)Cl,"InChI=1S/C9H11ClN2O/c1-12(2)9(13)11-8-5-3-7(10)4-6-8/h3-6H,1-2H3,(H,11,13)",BMLIZLVNXIYGCK-UHFFFAOYSA-N,"3-(4-chlorophenyl)-1,1-dimethylurea",1.9,198.0559907,198.0559907,32.3,177,0,1,1,1,13,0,0,0,0,0,0,0,1
6423,CCl3NO2,164.37,C([N+](=O)[O-])(Cl)(Cl)Cl,C([N+](=O)[O-])(Cl)(Cl)Cl,"InChI=1S/CCl3NO2/c2-1(3,4)5(6)7",LFHISGNCFUNFFM-UHFFFAOYSA-N,trichloro(nitro)methane,2.1,162.899461,162.899461,45.8,79,0,0,2,0,7,0,0,0,0,0,0,0,1
15910,C8Cl4N2,265.9,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,InChI=1S/C8Cl4N2/c9-5-3(1-13)6(10)8(12)7(11)4(5)2-14,CRQQGFGUEAVUIL-UHFFFAOYSA-N,"2,4,5,6-tetrachlorobenzene-1,3-dicarbonitrile",2.9,265.878609,263.881559,47.6,284,0,0,2,0,14,0,0,0,0,0,0,0,1
2723770,C6H14ClN,135.63,C1CCC(CC1)N.Cl,C1CCC(CC1)N.Cl,"InChI=1S/C6H13N.ClH/c7-6-4-2-1-3-5-6;/h6H,1-5,7H2;1H",ZJUGSKJHHWASAF-UHFFFAOYSA-N,cyclohexanamine;hydrochloride,,135.0814771,135.0814771,26,46,0,2,1,0,8,0,0,0,0,0,0,0,2
14500,C5H9NO,99.13,C1CCC(=NO)C1,C1CCC(=NO)C1,"InChI=1S/C5H9NO/c7-6-5-3-1-2-4-5/h7H,1-4H2",YGNXYFLJZILPEK-UHFFFAOYSA-N,N-cyclopentylidenehydroxylamine,0.7,99.06841391,99.06841391,32.6,80,0,1,2,0,7,0,0,0,0,0,0,0,1
5284373,C62H111N11O12,1202.6,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,"InChI=1S/C62H111N11O12/c1-25-27-28-40(15)52(75)51-56(79)65-43(26-2)58(81)67(18)33-48(74)68(19)44(29-34(3)4)55(78)66-49(38(11)12)61(84)69(20)45(30-35(5)6)54(77)63-41(16)53(76)64-42(17)57(80)70(21)46(31-36(7)8)59(82)71(22)47(32-37(9)10)60(83)72(23)50(39(13)14)62(85)73(51)24/h25,27,34-47,49-52,75H,26,28-33H2,1-24H3,(H,63,77)(H,64,76)(H,65,79)(H,66,78)/b27-25+/t40-,41+,42-,43+,44+,45+,46+,47+,49+,50+,51+,52-/m1/s1",PMATZTZNYRCHOR-CGLBZJNRSA-N,"(3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-30-ethyl-33-[(E,1R,2R)-1-hydroxy-2-methylhex-4-enyl]-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone",7.5,1201.841368,1201.841368,279,2330,0,5,12,15,85,0,12,12,0,1,1,0,1
60960,C3H8ClNO2S,157.62,C(C(C(=O)O)N)S.Cl,C([C@@H](C(=O)O)N)S.Cl,"InChI=1S/C3H7NO2S.ClH/c4-2(1-7)3(5)6;/h2,7H,1,4H2,(H,5,6);1H/t2-;/m0./s1",IFQSXNOEEPCSLW-DKWTVANSSA-N,(2R)-2-amino-3-sulfanylpropanoic acid;hydrochloride,,156.9964274,156.9964274,64.3,75,0,4,4,2,8,0,1,1,0,0,0,0,2
2942,C6H10N6O,182.18,CN(C)N=NC1=C(NC=N1)C(=O)N,CN(C)N=NC1=C(NC=N1)C(=O)N,"InChI=1S/C6H10N6O/c1-12(2)11-10-6-4(5(7)13)8-3-9-6/h3H,1-2H3,(H2,7,13)(H,8,9)",FDKXTQMXEQVLRF-UHFFFAOYSA-N,4-(dimethylaminodiazenyl)-1H-imidazole-5-carboxamide,-0.6,182.091609,182.091609,99.7,215,0,2,5,3,13,0,0,0,0,1,0,1,1
8427,C9H8Cl2O3,235.06,CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,"InChI=1S/C9H8Cl2O3/c1-5(9(12)13)14-8-3-2-6(10)4-7(8)11/h2-5H,1H3,(H,12,13)",MZHCENGPTKEIGP-UHFFFAOYSA-N,"2-(2,4-dichlorophenoxy)propanoic acid",3.4,233.9850495,233.9850495,46.5,210,0,1,3,3,14,0,1,0,1,0,0,0,1
1486,C8H6Cl2O3,221.03,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,"InChI=1S/C8H6Cl2O3/c9-5-1-2-7(6(10)3-5)13-4-8(11)12/h1-3H,4H2,(H,11,12)",OVSKIKFHRZPJSS-UHFFFAOYSA-N,"2-(2,4-dichlorophenoxy)acetic acid",2.8,219.9693994,219.9693994,46.5,186,0,1,3,3,13,0,0,0,0,0,0,0,1
3120,C9H10Cl2N2O,233.09,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,"InChI=1S/C9H10Cl2N2O/c1-13(2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)",XMTQQYYKAHVGBJ-UHFFFAOYSA-N,"3-(3,4-dichlorophenyl)-1,1-dimethylurea",2.7,232.0170183,232.0170183,32.3,211,0,1,1,1,14,0,0,0,0,0,0,0,1
6564,C3H6Cl2,112.98,CC(CCl)Cl,CC(CCl)Cl,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3",KNKRKFALVUDBJE-UHFFFAOYSA-N,"1,2-dichloropropane",1.8,111.9846556,111.9846556,0,20,0,0,0,1,5,0,1,0,1,0,0,0,1
12958,C3H9O3P,124.08,COP(=O)(C)OC,COP(=O)(C)OC,"InChI=1S/C3H9O3P/c1-5-7(3,4)6-2/h1-3H3",VONWDASPFIQPDY-UHFFFAOYSA-N,[methoxy(methyl)phosphoryl]oxymethane,-0.7,124.0289311,124.0289311,35.5,82,0,0,3,2,7,0,0,0,0,0,0,0,1
8441,C10H10O4,194.18,COC(=O)C1=CC=C(C=C1)C(=O)OC,COC(=O)C1=CC=C(C=C1)C(=O)OC,"InChI=1S/C10H10O4/c1-13-9(11)7-3-5-8(6-4-7)10(12)14-2/h3-6H,1-2H3",WOZVHXUHUFLZGK-UHFFFAOYSA-N,"dimethyl benzene-1,4-dicarboxylate",2.2,194.0579088,194.0579088,52.6,192,0,0,4,4,14,0,0,0,0,0,0,0,1
1493,C6H4N2O5,184.11,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,"InChI=1S/C6H4N2O5/c9-6-2-1-4(7(10)11)3-5(6)8(12)13/h1-3,9H",UFBJCMHMOXMLKC-UHFFFAOYSA-N,"2,4-dinitrophenol",1.7,184.0120212,184.0120212,112,220,0,1,5,0,13,0,0,0,0,0,0,0,1
8819,C4H8N4O2,144.13,C1CN(CCN1N=O)N=O,C1CN(CCN1N=O)N=O,InChI=1S/C4H8N4O2/c9-5-7-1-2-8(6-10)4-3-7/h1-4H2,WNSYEWGYAFFSSQ-UHFFFAOYSA-N,"1,4-dinitrosopiperazine",-0.8,144.0647255,144.0647255,65.3,115,0,0,6,0,10,0,0,0,0,0,0,0,1
8461,C7H6N2O4,182.13,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],"InChI=1S/C7H6N2O4/c1-5-2-3-6(8(10)11)4-7(5)9(12)13/h2-4H,1H3",RMBFBMJGBANMMK-UHFFFAOYSA-N,"1-methyl-2,4-dinitrobenzene",2,182.0327567,182.0327567,91.6,220,0,0,4,0,13,0,0,0,0,0,0,0,1
5757,C18H24O2,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1",VOXZDWNPVJITMN-ZBRFXRBCSA-N,"(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",4,272.17763,272.17763,40.5,382,0,2,2,0,20,0,5,5,0,0,0,0,1
8815,C10H12O,148.2,COC1=CC=C(C=C1)CC=C,COC1=CC=C(C=C1)CC=C,"InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3,5-8H,1,4H2,2H3",ZFMSMUAANRJZFM-UHFFFAOYSA-N,1-methoxy-4-prop-2-enylbenzene,3.4,148.088815,148.088815,9.2,112,0,0,1,3,11,0,0,0,0,0,0,0,1
2761171,C8H10N2S,166.25,CCC1=NC=CC(=C1)C(=S)N,CCC1=NC=CC(=C1)C(=S)N,"InChI=1S/C8H10N2S/c1-2-7-5-6(8(9)11)3-4-10-7/h3-5H,2H2,1H3,(H2,9,11)",AEOCXXJPGCBFJA-UHFFFAOYSA-N,2-ethylpyridine-4-carbothioamide,1.1,166.0564695,166.0564695,71,147,0,1,2,2,11,0,0,0,0,0,0,0,1
8453,C3H6N2O,86.09,C1CNC(=O)N1,C1CNC(=O)N1,"InChI=1S/C3H6N2O/c6-3-4-1-2-5-3/h1-2H2,(H2,4,5,6)",YAMHXTCMCPHKLN-UHFFFAOYSA-N,imidazolidin-2-one,-1.3,86.04801282,86.04801282,41.1,63,0,2,1,0,6,0,0,0,0,0,0,0,1
7833,C8H12O2,140.18,C1CC2C(O2)CC1C3CO3,C1CC2C(O2)CC1C3CO3,"InChI=1S/C8H12O2/c1-2-6-7(10-6)3-5(1)8-4-9-8/h5-8H,1-4H2",OECTYKWYRCHAKR-UHFFFAOYSA-N,3-(oxiran-2-yl)-7-oxabicyclo[4.1.0]heptane,0.8,140.0837296,140.0837296,25.1,157,0,0,2,1,10,0,4,0,4,0,0,0,1
7641,C22H42O4,370.6,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,"InChI=1S/C22H42O4/c1-5-9-13-19(7-3)17-25-21(23)15-11-12-16-22(24)26-18-20(8-4)14-10-6-2/h19-20H,5-18H2,1-4H3",SAOKZLXYCUGLFA-UHFFFAOYSA-N,bis(2-ethylhexyl) hexanedioate,6.8,370.3083098,370.3083098,52.6,320,0,0,4,19,26,0,2,0,2,0,0,0,1
370,C7H6O5,170.12,C1=C(C=C(C(=C1O)O)O)C(=O)O,C1=C(C=C(C(=C1O)O)O)C(=O)O,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N,"3,4,5-trihydroxybenzoic acid",0.7,170.0215233,170.0215233,98,169,0,4,5,1,12,0,0,0,0,0,0,0,1
3463,C15H22O3,250.33,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,"InChI=1S/C15H22O3/c1-11-6-7-12(2)13(10-11)18-9-5-8-15(3,4)14(16)17/h6-7,10H,5,8-9H2,1-4H3,(H,16,17)",HEMJJKBWTPKOJG-UHFFFAOYSA-N,"5-(2,5-dimethylphenoxy)-2,2-dimethylpentanoic acid",3.8,250.1568946,250.1568946,46.5,273,0,1,3,6,18,0,0,0,0,0,0,0,1
1549026,C12H20O2,196.29,CC(=CCCC(=CCOC(=O)C)C)C,CC(=CCC/C(=C/COC(=O)C)/C)C,"InChI=1S/C12H20O2/c1-10(2)6-5-7-11(3)8-9-14-12(4)13/h6,8H,5,7,9H2,1-4H3/b11-8+",HIGQPQRQIQDZMP-DHZHZOJOSA-N,"[(2E)-3,7-dimethylocta-2,6-dienyl] acetate",3.5,196.1463299,196.1463299,26.3,233,0,0,2,6,14,0,0,0,0,1,1,0,1
6466,C19H22O6,346.4,CC12C(C=CC3(C1C(C45C3CCC(C4)(C(=C)C5)O)C(=O)O)OC2=O)O,C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O,"InChI=1S/C19H22O6/c1-9-7-17-8-18(9,24)5-3-10(17)19-6-4-11(20)16(2,15(23)25-19)13(19)12(17)14(21)22/h4,6,10-13,20,24H,1,3,5,7-8H2,2H3,(H,21,22)/t10-,11+,12-,13-,16-,17+,18+,19-/m1/s1",IXORZMNAPKEEDV-OBDJNFEBSA-N,"(1R,2R,5S,8S,9S,10R,11S,12S)-5,12-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadec-13-ene-9-carboxylic acid",0.2,346.1416384,346.1416384,104,772,0,3,6,1,25,0,8,8,0,0,0,0,1
30623,C11H16N4O4,268.27,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,"InChI=1S/C11H16N4O4/c1-7(15-5-10(18)13-11(19)6-15)2-14-3-8(16)12-9(17)4-14/h7H,2-6H2,1H3,(H,12,16,17)(H,13,18,19)",BMKDZUISNHGIBY-UHFFFAOYSA-N,"4-[2-(3,5-dioxopiperazin-1-yl)propyl]piperazine-2,6-dione",-1.4,268.117155,268.117155,98.8,404,0,2,6,3,19,0,1,0,1,0,0,0,1
798,C8H7N,117.15,C1=CC=C2C(=C1)C=CN2,C1=CC=C2C(=C1)C=CN2,"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H",SIKJAQJRHWYJAI-UHFFFAOYSA-N,1H-indole,2.1,117.0578492,117.0578492,15.8,101,0,1,0,0,9,0,0,0,0,0,0,0,1
24644,Cl2H12MgO6,203.3,O.O.O.O.O.O.[Mg+2].[Cl-].[Cl-],O.O.O.O.O.O.[Mg+2].[Cl-].[Cl-],InChI=1S/2ClH.Mg.6H2O/h2*1H;;6*1H2/q;;+2;;;;;;/p-2,DHRRIBDTHFBPNG-UHFFFAOYSA-L,magnesium;dichloride;hexahydrate,,201.9861352,201.9861352,6,0,0,6,8,0,9,0,0,0,0,0,0,0,9
667490,C5H4N4S,152.18,C1=NC2=C(N1)C(=S)N=CN2,C1=NC2=C(N1)C(=S)N=CN2,"InChI=1S/C5H4N4S/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",GLVAUDGFNGKCSF-UHFFFAOYSA-N,"3,7-dihydropurine-6-thione",0,152.0156673,152.0156673,85.2,190,0,2,2,0,10,0,0,0,0,0,0,0,1
